City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,nizhneangarsk,55.7833,109.55,-26.67,89,18,2.24,RU,1706559601
375,mankono,8.0586,-6.1897,28.51,15,76,1.37,CI,1706559602
376,yarmouth,41.7057,-70.2286,2.26,92,100,10.73,US,1706559555
377,wewak,-3.5534,143.6268,24.6,90,100,1.7,PG,1706559603
378,san pedro pochutla,15.7333,-96.4667,31.84,38,0,4.07,MX,1706559354
379,mirnyy,62.5353,113.9611,-36.54,66,52,1.79,RU,1706559605
380,afaahiti,-17.75,-149.2833,28.93,78,99,1.45,PF,1706559605
381,la sarre,48.8002,-79.1996,-2.91,89,99,3.29,CA,1706559606
382,bandon,51.7469,-8.7425,3.77,87,21,4.16,IE,1706559607
383,gereshk,31.8209,64.5701,15.63,44,95,0.37,AF,1706559607
384,turan,16.0678,108.2208,18.99,94,20,0.0,VN,1706559498
385,nizhniy odes,63.6445,54.856,-12.03,96,100,4.71,RU,1706559609
386,makoua,0.0069,15.6333,29.32,36,93,0.71,CG,1706559609
387,fort st. john,56.2499,-120.8529,12.94,44,75,12.35,CA,1706559610
388,arawa,-6.2132,155.5367,25.47,89,100,1.89,PG,1706559610
389,thinadhoo,0.5333,72.9333,28.02,76,17,5.38,MV,1706559611
390,norton,-17.8833,30.7,20.71,72,29,2.37,ZW,1706559370
391,labuan,5.2767,115.2417,27.2,83,20,4.12,MY,1706559612
392,fortaleza,-3.7227,-38.5247,30.07,70,0,6.17,BR,1706559422
393,sayat,38.7839,63.8803,2.93,57,91,2.47,TM,1706559613
394,chernigovka,44.3389,132.5728,-19.56,95,17,1.4,RU,1706559614
395,severnoye,56.3491,78.3619,-15.01,98,99,1.79,RU,1706559615
396,guerrero negro,27.9769,-114.0611,23.69,29,56,3.26,MX,1706559615
397,mikhaylovka,50.06,43.2379,-4.05,99,79,1.9,RU,1706559616
398,kolar,13.1333,78.1333,17.42,93,95,2.4,IN,1706559617
399,saint-philippe,-21.3585,55.7679,24.77,86,49,3.28,RE,1706559618
400,thunder bay,48.4001,-89.3168,-0.01,86,100,1.54,CA,1706559350
401,maragogi,-9.0122,-35.2225,28.17,69,14,4.48,BR,1706559619
402,tabas,33.5959,56.9244,9.88,39,0,3.06,IR,1706559620
403,haapajarvi,63.75,25.3333,2.47,78,9,6.02,FI,1706559620
404,staritsa,56.5075,34.9354,-0.79,87,100,5.96,RU,1706559568
405,keetmanshoop,-26.5833,18.1333,26.15,31,99,5.7,NA,1706559334
406,kingston,17.997,-76.7936,31.25,62,20,5.14,JM,1706559476
407,matadi,-5.8167,13.45,26.56,92,100,1.85,CD,1706559623
408,sovetskaya gavan',48.9723,140.2878,-9.94,97,100,4.41,RU,1706559623
409,dubbo,-32.25,148.6167,23.07,88,0,2.57,AU,1706559624
410,mili,6.0815,171.735,28.02,81,100,7.44,MH,1706559625
411,tromso,69.6496,18.957,3.01,56,75,20.06,NO,1706559480
412,argo,37.6333,22.7333,5.33,82,85,3.1,GR,1706559626
413,belyy yar,53.6039,91.3903,-22.06,84,100,0.0,RU,1706559627
414,tomatlan,19.9333,-105.25,30.56,33,100,2.29,MX,1706559627
415,smolensk,55.0,33.0,-0.75,93,100,4.97,RU,1706559628
416,constitucion,-35.3333,-72.4167,20.79,57,13,5.37,CL,1706559347
417,faya-largeau,17.9257,19.1043,19.02,26,0,9.26,TD,1706559629
418,yorkton,51.2167,-102.4677,2.91,75,0,6.17,CA,1706559630
419,mossel bay,-34.1831,22.146,20.01,83,4,3.58,ZA,1706559631
420,hindoria,23.9,79.5667,16.0,37,100,1.66,IN,1706559631
421,constantia,44.1833,28.65,2.61,78,100,9.27,RO,1706559633
422,osceola,28.042,-81.1242,17.81,44,0,5.02,US,1706559634
423,asau,46.4333,26.4,-4.29,96,84,1.27,RO,1706559634
424,oranjemund,-28.55,16.4333,18.87,79,100,1.42,NA,1706559635
425,mouila,-1.8685,11.0559,24.97,95,100,0.97,GA,1706559636
426,phulbani,20.4667,84.2333,15.78,56,53,2.09,IN,1706559637
427,calatayud,41.3535,-1.6432,9.82,83,100,1.15,ES,1706559637
428,mount pearl,47.5166,-52.7813,-2.25,95,100,6.69,CA,1706559638
429,namie,37.4833,141.0,1.1,69,0,2.64,JP,1706559638
430,sao gabriel da cachoeira,-0.1303,-67.0892,30.35,72,82,0.23,BR,1706559639
431,savastepe,39.3832,27.6561,1.81,97,100,6.11,TR,1706559639
432,moussoro,13.6408,16.4901,21.92,17,0,5.68,TD,1706559640
433,hermanus,-34.4187,19.2345,22.67,74,97,8.73,ZA,1706559640
434,boryslav,49.2867,23.4324,-1.95,89,14,1.86,UA,1706559641
435,quellon,-43.1167,-73.6167,16.52,57,95,3.5,CL,1706559642
436,shantobe,52.4581,68.1839,-23.22,100,100,0.96,KZ,1706559642
437,masuguru,-11.3667,38.4167,23.06,98,100,2.68,TZ,1706559643
438,aarburg,47.3207,7.8999,6.67,91,100,0.83,CH,1706559644
439,pandan,14.0453,124.1694,25.12,74,100,7.22,PH,1706559644
440,leninogorsk,54.6026,52.4609,-11.43,95,100,4.18,RU,1706559645
441,eyl,7.9803,49.8164,24.96,86,94,6.78,SO,1706559645
442,liuduzhai,27.3661,110.935,6.77,95,96,0.36,CN,1706559645
443,kaa-khem,51.6833,94.7333,-29.22,97,100,0.28,RU,1706559646
444,qiqihar,47.3408,123.9672,-22.98,88,100,1.19,CN,1706559647
445,arvayheer,46.2639,102.775,-20.87,91,66,1.29,MN,1706559647
446,starominskaya,46.53,39.0497,-2.04,78,61,4.27,RU,1706559648
447,mbanza-ngungu,-5.25,14.8667,22.2,92,100,1.94,CD,1706559648
448,inhambane,-23.865,35.3833,24.25,85,0,3.67,MZ,1706559649
449,tenno,39.9,139.9667,4.33,58,60,5.65,JP,1706559649
450,krasnyy chikoy,50.3643,108.7512,-29.08,100,97,0.24,RU,1706559650
451,buala,-8.145,159.5921,26.36,86,100,3.85,SB,1706559650
452,messini,37.0511,22.0078,6.91,45,20,3.09,GR,1706559651
453,illapel,-31.6308,-71.1653,28.71,46,0,4.25,CL,1706559651
454,sandnessjoen,66.0217,12.6316,5.29,81,75,6.69,NO,1706559652
455,newman,37.3138,-121.0208,20.59,73,0,1.79,US,1706559652
456,decatur,39.8403,-88.9548,5.92,81,75,4.12,US,1706559653
457,mushie,-3.0167,16.9,27.75,62,100,0.61,CD,1706559653
458,antsiranana,-12.2787,49.2917,24.81,84,63,3.72,MG,1706559654
459,crescent city,41.756,-124.2018,20.05,67,0,6.17,US,1706559654
460,lander,42.833,-108.7307,12.33,49,0,0.0,US,1706559654
461,coahuayana de hidalgo,18.7,-103.6583,30.54,47,100,2.95,MX,1706559655
462,yangambi,0.8102,24.4336,26.92,39,100,1.12,CD,1706559655
463,pinotepa nacional,16.3167,-98.0167,32.42,25,84,4.22,MX,1706559656
464,remire-montjoly,4.9167,-52.2667,25.02,94,75,3.09,GF,1706559656
465,puerto deseado,-47.7503,-65.8938,19.22,48,9,5.92,AR,1706559657
466,voznesenskoye,54.89,42.7569,-5.43,98,100,2.24,RU,1706559657
467,tidjikja,18.5564,-11.4271,20.92,11,0,5.09,MR,1706559657
468,kailua-kona,19.6406,-155.9956,26.98,81,40,7.2,US,1706559389
469,bengkulu,-3.8004,102.2655,24.8,88,100,1.42,ID,1706559658
470,black river,18.0264,-77.8487,28.74,62,8,3.59,JM,1706559659
471,nguigmi,14.2495,13.1092,21.65,24,6,6.31,NE,1706559659
472,bakhtiyarpur,25.4667,85.5167,13.01,50,0,0.44,IN,1706559659
473,tshabong,-26.05,22.45,29.83,33,99,4.8,BW,1706559660
474,wuhai,39.6647,106.8122,-6.91,56,100,0.25,CN,1706559660
475,visakhapatnam,17.69,83.2093,21.05,71,15,0.63,IN,1706559661
476,totness,5.8833,-56.3167,28.0,72,38,5.4,SR,1706559662
477,palasa,18.7667,84.4167,19.11,78,18,1.54,IN,1706559662
478,sungai penuh,-2.0833,101.3833,17.86,97,100,1.5,ID,1706559663
479,toppenish,46.3774,-120.3087,8.53,91,99,0.91,US,1706559553
480,tralee,52.2704,-9.7026,3.86,77,7,2.66,IE,1706559664
481,codrington,-38.2667,141.9667,12.0,89,0,2.92,AU,1706559665
482,menongue,-14.6585,17.691,23.53,49,82,1.15,AO,1706559665
483,kavieng,-2.5744,150.7967,28.19,78,100,3.21,PG,1706559666
484,coronel moldes,-33.6227,-64.5971,38.66,17,0,2.69,AR,1706559666
485,soe,-9.8607,124.284,19.21,93,100,1.32,ID,1706559667
486,barabai,-2.5833,115.3833,23.45,97,100,0.66,ID,1706559668
487,antalaha,-14.9003,50.2788,23.96,92,59,2.4,MG,1706559668
488,bolgatanga,10.7856,-0.8514,28.05,14,36,2.94,GH,1706559669
489,the pas,53.8251,-101.2541,3.01,81,75,5.66,CA,1706559466
490,bocas del toro,9.3333,-82.25,24.47,74,100,3.6,PA,1706559647
491,aracati,-4.5617,-37.7697,29.81,61,35,6.59,BR,1706559670
492,lesogorsk,56.0458,99.5136,-34.48,100,23,1.34,RU,1706559671
493,tazacorte,28.629,-17.9293,20.08,38,17,4.47,ES,1706559672
494,adre,13.4667,22.2,20.56,18,92,6.13,TD,1706559672
495,lobito,-12.3481,13.5456,26.6,84,45,3.25,AO,1706559673
496,kourou,5.1552,-52.6478,25.03,89,29,4.39,GF,1706559674
497,buenaventura,3.8801,-77.0312,29.4,77,96,2.4,CO,1706559674
498,waingapu,-9.6567,120.2641,25.86,82,100,2.58,ID,1706559675
499,okhotsk,59.3833,143.3,-25.79,81,6,3.65,RU,1706559676
500,suvorovskaya,44.1942,42.6539,-8.84,93,98,1.92,RU,1706559676
501,alice springs,-23.7,133.8833,24.56,23,99,2.06,AU,1706559677
502,queenstown,-31.8976,26.8753,24.01,46,94,2.36,ZA,1706559678
503,nova vicosa,-17.8919,-39.3719,27.62,78,99,5.09,BR,1706559454
504,mersing,2.4312,103.8405,26.95,83,40,5.66,MY,1706559437
505,bokoro,12.3807,17.0568,23.79,14,0,4.66,TD,1706559679
506,bridgewater,44.3835,-64.5155,-0.21,91,100,7.2,CA,1706559680
507,slaton,33.4373,-101.6435,18.34,28,64,3.16,US,1706559681
508,flying fish cove,-10.4217,105.6791,24.82,94,98,1.54,CX,1706559681
509,sorochinsk,52.4338,53.1583,-14.84,100,99,1.26,RU,1706559683
510,ulsteinvik,62.3432,5.8487,6.28,75,12,6.26,NO,1706559684
511,dakhla,23.6848,-15.958,21.01,56,0,7.72,EH,1706559685
512,naze,28.3667,129.4833,9.51,65,46,2.53,JP,1706559685
513,sakaiminato,35.55,133.2333,4.96,87,75,0.51,JP,1706559686
514,tauranga,-37.6861,176.1667,24.73,69,98,1.34,NZ,1706559687
515,carusucan,15.9686,120.6378,18.83,76,82,1.93,PH,1706559688
516,say,13.1007,2.3689,27.31,14,34,4.36,NE,1706559689
517,broken hill,-31.95,141.4333,22.82,38,5,5.99,AU,1706559690
518,pustoshka,56.3355,29.369,0.33,87,100,4.75,RU,1706559691
519,lata,40.1629,-8.3327,12.73,77,82,2.1,PT,1706559691
520,kuraymah,18.55,31.85,17.48,23,87,5.31,SD,1706559692
521,emerald,-23.5333,148.1667,26.48,88,100,2.28,AU,1706559693
522,galliano,29.4422,-90.2992,17.78,47,19,3.48,US,1706559694
523,baotou,40.6522,109.8222,-10.61,88,100,1.38,CN,1706559694
524,rodolfo sanchez taboada,31.7167,-116.5667,20.61,48,7,2.68,MX,1706559695
525,hengchun,22.0042,120.7439,22.34,77,100,6.64,TW,1706559695
526,fort bragg,35.139,-79.006,15.75,41,0,5.14,US,1706559696
527,kota kinabalu,5.9749,116.0724,25.99,78,20,2.24,MY,1706559587
528,kiunga,-6.1219,141.2906,23.54,99,100,0.98,PG,1706559697
529,rio branco,-9.9747,-67.81,30.83,64,99,1.86,BR,1706559698
530,roosevelt,33.9668,-103.4505,17.12,26,71,3.0,US,1706559699
531,mount isa,-20.7333,139.5,23.87,94,75,1.54,AU,1706559699
532,naifaru,5.4444,73.3657,27.36,71,17,5.43,MV,1706559700
533,al jawf,29.5,38.75,10.9,48,2,1.85,SA,1706559451
534,nova sintra,14.8667,-24.7167,21.28,67,74,8.63,CV,1706559701
535,kulhudhuffushi,6.6221,73.07,27.42,68,6,4.08,MV,1706559701
536,portland,45.5234,-122.6762,17.28,71,75,1.54,US,1706559375
537,alexandria,31.2156,29.9553,11.3,53,98,9.74,EG,1706559472
538,blackwater,-23.5833,148.8833,26.13,89,97,3.09,AU,1706559703
539,nogliki,51.8333,143.1667,-14.92,95,100,2.01,RU,1706559703
540,matoury,4.8483,-52.3317,24.98,94,75,3.09,GF,1706559704
541,aioun,16.6614,-9.6149,22.67,11,9,4.91,MR,1706559705
542,madinat ash shamal,26.1293,51.2009,19.43,63,100,4.98,QA,1706559705
543,boguchany,58.3814,97.4531,-30.64,100,33,1.34,RU,1706559706
544,vorkuta,67.5,64.0,-17.01,94,65,4.16,RU,1706559706
545,murphysboro,37.7645,-89.3351,10.97,61,0,2.06,US,1706559707
546,luwuk,-0.9516,122.7875,25.52,82,67,1.64,ID,1706559707
547,niscemi,37.1486,14.3913,9.31,81,6,1.98,IT,1706559708
548,xilitla,21.3333,-98.9667,17.67,67,89,3.15,MX,1706559585
549,ayorou,14.7308,0.9174,24.12,13,1,4.5,NE,1706559709
550,dogonbadan,30.3586,50.7981,10.05,71,40,1.03,IR,1706559709
551,lycksele,64.5954,18.6735,3.02,65,0,5.66,SE,1706559710
552,masterton,-40.9597,175.6575,21.05,71,48,2.83,NZ,1706559710
553,ternitz,47.7156,16.0357,0.96,64,10,2.18,AT,1706559711
554,oriximina,-1.7656,-55.8661,33.43,46,60,2.86,BR,1706559711
555,rio grande,-32.035,-52.0986,26.06,71,51,5.16,BR,1706559712
556,tadine,-21.55,167.8833,25.62,71,99,3.09,NC,1706559712
557,rimouski,48.4488,-68.524,-9.18,82,100,7.08,CA,1706559659
558,touros,-5.1989,-35.4608,28.41,71,13,6.31,BR,1706559586
559,mazarron,37.5992,-1.3149,15.55,90,100,4.12,ES,1706559714
560,skovorodino,53.9833,123.9167,-31.71,99,85,0.96,RU,1706559714
561,barcelos,41.5388,-8.6151,14.82,77,41,1.73,PT,1706559715
562,nago,26.5881,127.9761,17.3,64,99,4.87,JP,1706559715
563,cam pha mines,21.0167,107.3,14.05,93,100,1.96,VN,1706559553
564,obigarm,38.7173,69.7088,-0.45,96,100,2.01,TJ,1706559717
565,orcopampa,-15.2661,-72.3417,14.88,61,89,3.98,PE,1706559717
566,kharp,66.8014,65.8081,-22.99,100,98,0.96,RU,1706559718
567,sidi khaled,34.387,4.9879,13.51,63,35,2.74,DZ,1706559718
568,chinde,26.8418,88.0763,7.01,63,2,2.12,NP,1706559719
569,kingaroy,-26.5333,151.8333,22.18,98,100,1.32,AU,1706559720
570,cill airne,52.05,-9.5167,2.51,87,9,1.8,IE,1706559720
571,juba,4.8517,31.5825,27.35,25,100,2.02,SS,1706559721
572,galle,6.0367,80.217,24.97,88,94,2.55,LK,1706559493
573,jacksonville,30.3322,-81.6556,18.36,48,0,5.14,US,1706558926
574,hidden valley lake,38.808,-122.5583,20.72,65,24,0.45,US,1706559723
575,derebucak,37.3918,31.5092,-2.05,76,98,3.2,TR,1706559724
576,fuding,27.3273,120.214,10.55,97,100,0.94,CN,1706559724
577,sarkand,45.41,79.9186,-7.11,82,100,1.79,KZ,1706559725
578,chibougamau,49.9168,-74.3659,-11.21,57,0,2.57,CA,1706559725
579,puntarenas,9.9763,-84.8384,32.84,50,77,1.89,CR,1706559727
580,lima duarte,-21.8425,-43.7931,26.7,75,32,0.81,BR,1706559727
581,conception bay south,47.4999,-52.9981,-1.92,95,100,5.42,CA,1706559728
582,lichinga,-13.3128,35.2406,16.96,92,20,1.77,MZ,1706559729
